unicode,gb2312,Chinese,stroke number,id
0x554A,0xB0A1,啊,10,0
0x963F,0xB0A2,阿,7,1
0x57C3,0xB0A3,埃,10,2
0x6328,0xB0A4,挨,10,3
0x54CE,0xB0A5,哎,8,4
0x5509,0xB0A6,唉,10,5
0x54C0,0xB0A7,哀,9,6
0x7691,0xB0A8,皑,11,7
0x764C,0xB0A9,癌,17,8
0x853C,0xB0AA,蔼,14,9
0x77EE,0xB0AB,矮,13,10
0x827E,0xB0AC,艾,5,11
0x788D,0xB0AD,碍,13,12
0x7231,0xB0AE,爱,10,13
0x9698,0xB0AF,隘,12,14
0x978D,0xB0B0,鞍,15,15
0x6C28,0xB0B1,氨,10,16
0x5B89,0xB0B2,安,6,17
0x4FFA,0xB0B3,俺,10,18
0x6309,0xB0B4,按,9,19
0x6697,0xB0B5,暗,13,20
0x5CB8,0xB0B6,岸,8,21
0x80FA,0xB0B7,胺,10,22
0x6848,0xB0B8,案,10,23
0x80AE,0xB0B9,肮,8,24
0x6602,0xB0BA,昂,8,25
0x76CE,0xB0BB,盎,10,26
0x51F9,0xB0BC,凹,5,27
0x6556,0xB0BD,敖,10,28
0x71AC,0xB0BE,熬,14,29
0x7FF1,0xB0BF,翱,16,30
0x8884,0xB0C0,袄,9,31
0x50B2,0xB0C1,傲,12,32
0x5965,0xB0C2,奥,12,33
0x61CA,0xB0C3,懊,15,34
0x6FB3,0xB0C4,澳,15,35
0x82AD,0xB0C5,芭,7,36
0x634C,0xB0C6,捌,10,37
0x6252,0xB0C7,扒,5,38
0x53ED,0xB0C8,叭,5,39
0x5427,0xB0C9,吧,7,40
0x7B06,0xB0CA,笆,10,41
0x516B,0xB0CB,八,2,42
0x75A4,0xB0CC,疤,9,43
0x5DF4,0xB0CD,巴,4,44
0x62D4,0xB0CE,拔,8,45
0x8DCB,0xB0CF,跋,12,46
0x9776,0xB0D0,靶,13,47
0x628A,0xB0D1,把,7,48
0x8019,0xB0D2,耙,10,49
0x575D,0xB0D3,坝,7,50
0x9738,0xB0D4,霸,21,51
0x7F62,0xB0D5,罢,10,52
0x7238,0xB0D6,爸,8,53
0x767D,0xB0D7,白,5,54
0x67CF,0xB0D8,柏,9,55
0x767E,0xB0D9,百,6,56
0x6446,0xB0DA,摆,13,57
0x4F70,0xB0DB,佰,8,58
0x8D25,0xB0DC,败,8,59
0x62DC,0xB0DD,拜,9,60
0x7A17,0xB0DE,稗,13,61
0x6591,0xB0DF,斑,12,62
0x73ED,0xB0E0,班,10,63
0x642C,0xB0E1,搬,13,64
0x6273,0xB0E2,扳,7,65
0x822C,0xB0E3,般,10,66
0x9881,0xB0E4,颁,10,67
0x677F,0xB0E5,板,8,68
0x7248,0xB0E6,版,8,69
0x626E,0xB0E7,扮,7,70
0x62CC,0xB0E8,拌,8,71
0x4F34,0xB0E9,伴,7,72
0x74E3,0xB0EA,瓣,19,73
0x534A,0xB0EB,半,5,74
0x529E,0xB0EC,办,4,75
0x7ECA,0xB0ED,绊,8,76
